WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
q26	F12	food_drink	چای	tea	tea			
q27		food_drink	چوب شور	pretzel	pretzel			
q28		food_drink	چیپس	chips	chips			
q29		food_drink	خربزه	melon			watermelon	
q30		food_drink	خورش	stew				food?
q31		food_drink	خیار	cucumber	cucumber			
q32		food_drink	رب			tomato paste	tomato	
q33		food_drink	دوغ	dough			drink (beverage)	
q34		food_drink	ساندویچ	sandwich	sandwich			
q35		food_drink	سبزی	vegetables			vegetable	The lemma is my proposal
q36		food_drink	سس			sauce	sauce	
q37		food_drink	سوپ	soup	soup			
q38		food_drink	سوسیس	sausage			meat	
q39		food_drink	سیب	apple	apple			
q40		food_drink	سیب زمینی	potato	potato			
q41		food_drink	شربت	syrup			syrup	sweet' already exists in the lemma list, but I think 'sweets' is better here.
q42		food_drink	شکلات	chocolate	chocolate			
q43		food_drink	شیر (خوراکی)	milk	milk			
q44		food_drink	شیرینی	sweets			sweets	
q45		food_drink	غذا	food	food			
q46		food_drink	فلفل	pepper	pepper			
q47		food_drink	فندق	hazelnut			hazelnut	
q48		food_drink	قارچ	mushrooms	mushroom			
q49		food_drink	قند	sugar loaf			sugar	
q50		food_drink	کاکائو	cocoa			cocoa	coffee?
q51		food_drink	کالباس	bologna		lunch meat / cold cut	meat	
q52		food_drink	کره	butter	butter			
q53		food_drink	کباب	barbecue			meat	
q54		food_drink	کشمش	raisins			raisin	
q55		food_drink	کیک	cake	cake			
q56		food_drink	کیوی	kiwi			kiwi	
q57		food_drink	گردو	walnut			walnut	
q58		food_drink	گوشت	meat	meat			
q59		food_drink	گوجه	tomato	tomato			
q60		food_drink	گیلاس	cherries			cherry	I notice that some fruits exist in the bank and some not. Please make this consistent later. Eg for 'kiwi' I wrote 'fruit' (less common fruit), for 'cherry' I wrote 'fruit' (more common). 
q61		food_drink	لوبیا	beans	beans			
q62		food_drink	لیمو	lemon	lemon			
q63		food_drink	ماست	yogurt	yogurt			
q64	F24	food_drink	ماکارونی	macaroni	pasta			
q65		food_drink	مربا	jam	jam			
q66		food_drink	موز	banana	banana			
q67		food_drink	میوه	fruit	fruit			
q68		food_drink	نان	bread	bread			
q69		food_drink	نارنگی	mandarin	orange (food)			
q70		food_drink	نوشابه	soda	soda			
q71		food_drink	نخودچی	chickpeas			beans	
q72		food_drink	نمک	salt			salt	
q73		food_drink	هلو	peach	peach			
q74		food_drink	همبرگر	hamburgers			meat	
q75		food_drink	هندوانه	watermelon	watermelon			
q76		food_drink	یخ	ice			water (beverage)	
asbabbazi1		toys	اسباب بازی	toy	toy (object)			
asbab2		toys	بادبادک	kite			kite	
asbab3	P2	toys	بادکنک	balloons	balloon			
asbab4		toys	پازل	puzzle			puzzle	
asbab5	M11	toys	تاب			swing	swing (object)	
asbab6		toys	تخته	board			game	
asbab7	P4	toys	توپ	ball	ball			
asbab8		toys	چسب	adhesive			glue	
asbab9		toys	خط کش	ruler			ruler	
asbab10		toys	خمیر	play dough			play dough	
asbab11		toys	خودکار				pen/pencil	
asbab12		toys	دفتر	note book			book	
asbab13		toys	سوت	whistle			whistle (object)	
asbab14		toys	عروسک	dolls	doll			
asbab15		toys	شیپور	trumpet			trumpet	
asbab16		toys	طناب	rope	rope			
asbab17		toys	کتاب	book	book			
asbab18		toys	کتاب داستان	story book			book	
asbab19		toys	لگو	lego	blocks		block	The bank has the singular noun.
asbab20		toys	ماژیک	marker			pen/pencil	
asbab21		toys	مداد	pencil	pen/pencil			
asbab22		toys	مداد رنگی	crayons			crayon	
asbab23		toys	مشق	homework			book	
asbab24		toys	نقاشی	painting			painting	
heivanat1		animals	اهو	gazelle			gazelle	See my comment to 89. Also, The correct spelling is آهو
h2	N2	animals	اسب	horse	horse			
h3		animals	اردک	duck	duck			
h4	N3	animals	الاغ	donkey	donkey			
h5		animals	ببر	tiger	tiger			
h6	N4	animals	بره	lamb	lamb			
h7		animals	بز	goat	goat			
h8		animals	بلبل			nightingale	bird	
h9		animals	پرنده	bird	bird			
h10	N5	animals	پروانه	butterfly	butterfly			
h11		animals	پشه			mosquito	mosquito	
h12		animals	پلنگ	leopard			animal	
h13	N8	animals	جوجه	chicken	chicken (animal)			
h14		animals	حیوان	animal	animal			
h15		animals	خر	donkey	donkey			
h16		animals	خرچنگ	crab			crab	
h17	N10	animals	خرس	bear	bear			
h18	N11	animals	خرگوش	rabbit			bunny	
h19	N12	animals	خروس	rooster	rooster			
h20	N13	animals	روباه	fox	fox			
h21	N14	animals	زرافه	giraffe	giraffe			
h22	N15	animals	زنبور	bee	bee			
h23	N16	animals	سگ	dog	dog			
h24	N17	animals	سنجاب	squirrel	squirrel			
h25		animals	سوسک	beetle		cockroach	beetle	
h26	N18	animals	شتر	camel			camel	
h27		animals	طوطی	parrot	parrot			
h28		animals	عقاب	eagle			eagle	
h29	N21	animals	فیل	elephant	elephant			
h30	N22	animals	قورباغه	frog	frog			
h31	N23	animals	کبوتر	pigeons			pigeon	
h32	N24	animals	کلاغ	crow	crow			
h33	N25	animals	گاو	cow	cow			
h34	N26	animals	گربه	cat	cat			
h35		animals	گرگ	wolf	wolf			
h36	N27	animals	گنجشک	sparrow	sparrow			
h37		animals	گورخر	zebra	zebra			
h38	N28	animals	گوسفند	sheep	sheep			
h39		animals	گوزن	deer	deer			
h40	N29	animals	لاک پشت	turtle	turtle			
h41	N31	animals	مار	snake	snake			
h42	N30	animals	ماهی	fish	fish (animal)			
h43	N32	animals	مرغ	chicken	chicken (animal)			
h44	N33	animals	مگس			fly	fly (animal)	
h45	N34	animals	مورچه	ant	ant			
h46	N35	animals	موش	mouse	mouse			
h47	N36	animals	میمون	monkey	monkey			
bazi1		games_routines	اب بازی			bath/waterplay	bath	The lemma is my proposal.
b2		games_routines	اتل متل					This is a traditional children's game. No equivalent in English as far as I know.
b3		games_routines	الله اکبر	allahu akbar				The connotation of this item is not clear. It can be used in many situations, and it's not necessarily child language.
b4		games_routines	الو			hello (on the phone)	call	
b5		games_routines	بای بای ( خداحافظ)	bye bye (goodbye)	bye			
b6		games_routines	بله ( اره)			yes (yeah)	yes	
b7		games_routines	به سلامت	goodbye	bye			
b8		games_routines	تاب تاب عباسی					This is a traditional children's song. No equivalent in English as far as I know.
b9		games_routines	خواب	sleep	sleep			
b10		games_routines	دالی/داکی			peekaboo	peekaboo	
b11		games_routines	ده- بیست- سی- چهل	ten- twenty- thirty- forty		eeny, meeny, miny, moe		
b12	I9	games_routines	سلام	hello	hello			
b13	I10	games_routines	شام	dinner	dinner			
b14	I11	games_routines	شب بخیر	good night	good night			
b15		games_routines	عصرانه	evening meal		also: afternoon tea	tea party	
b16		games_routines	عمو زنجیر باف					This is a traditional children's game. No equivalent in English as far as I know.
b17		games_routines	عید	eid			party	
b18		games_routines	قایم (قایم باشک)			hide and seek	hide and seek	
b19	I12	games_routines	صبحانه	breakfast	breakfast			
b20		games_routines	صبح بخیر	good morning	good morning			
b21		games_routines	کلاغ پر					This is a traditional children's game. No equivalent in English as far as I know.
b22		games_routines	لطفا	please	please			
b23		games_routines	مبارک	happy	happy			
b24		games_routines	مرسی (ممنون)			thanks	thanks	
b25		games_routines	نانای				dance	This is a word used as a rough equivalent to 'music' or as a part of a compound verb denoting 'to dance'.
b26		games_routines	نهار	lunch	lunch			
b27		games_routines	هیس			Hush!	shh	
makan1		outside	اداره	office	workplace		work (place)	
m2	M5	outside	باغ	garden	garden			
m3		outside	بیرون	outside	outside			
m4	M9	outside	پارک	park	park			
m5		outside	پل	bridge	bridge			
m6	M13	outside	حیاط	yard	yard			
m7	M14	outside	خانه	home	home			
m8		outside	دریا	sea	sea			
m9	M18	outside	ساحل	coast			beach	
m10		outside	سینما	cinema			movie	Of course, 'outing' or 'go out' is not the same concept as 'cinema' but my proposal is only based on association. 
m11		outside	کلاس	class			class	
m12	M23	outside	کوچه	alley			street	
m13	M24	outside	کوه	mountain	mountain			
m14	M26	outside	مدرسه	school	school			
m15	M27	outside	مسجد	mosque	church			
m16		outside	مغازه	shop	store			
m17		outside	مهمانی	party	party			
pushak1		clothing	النگو	bangle			bracelet	
p2		clothing	انگشتر	ring			ring	
p3	J1	clothing	بلوز	blouse			shirt	
p4	J2	clothing	پوشک	diapers			diaper	
p5	J4	clothing	پیراهن	shirt	shirt			
p6		clothing	تِل			hair clip, hair bow	hair tie	
p7	J3	clothing	پیش بند	apron			apron	
p8	J6	clothing	جوراب	socks	sock			
p9	J7	clothing	چادر			chador	scarf	
p10		clothing	چکمه	boot	boots		boot	
p11		clothing	دستبند	bracelet			bracelet	
p12	J11	clothing	دستکش	gloves	gloves			
p13	J8	clothing	دکمه	button	button			
p14		clothing	دمپای ی	slippers	slipper			
p15	J12	clothing	روسری	scarf	scarf			
p16	J13	clothing	زیپ	zipper	zipper			
p17		clothing	سنجاق	pin			brooch	
p18	J14	clothing	شال	shawl			shawl	
p19	J15	clothing	شلوار	pants	pants			
p20	J16	clothing	شورت	shorts	shorts			
p21	J17	clothing	کاپشن	jacket	jacket			
p22	J18	clothing	کت	coat	coat			
p23		clothing	کِش			elastic band	hair tie	This word is not in the original forms.
p24		clothing	ک فش	shoe	shoe			Correct spelling: کفش
p25	J20	clothing	کلاه	hat	hat			
p26		clothing	کمربند	belt			belt	
p27		clothing	گردنبند	necklaces	necklace			
p28		clothing	گل سر (گیر)			hairslide	headband	
p29		clothing	گوشواره	earrings	earrings		earring	
p30	J21	clothing	لباس	dress	dress (object)			
p31	J22	clothing	مانتو			gown	dress (object)	Specific women's clothing item common in iran. 
badan1	K1	body_parts	ابرو			eyebrow	eyebrows	
badan2	K2	body_parts	انگشت	finger	finger			
badan3		body_parts	بازو	arm	arm			
badan4	K3	body_parts	باسن*			buttock	butt	
badan5		body_parts	بینی(دماغ)	nose	nose			
badan6	K6	body_parts	پا	leg	leg			
badan7		body_parts	چانه	chin	chin			
badan8	K7	body_parts	چشم	eye	eye			
badan9	K8	body_parts	دست	hand	hand			
badan10		body_parts	دل			belly	tummy	The lemma is my proposal. 'Belly button' exists in the bank but 'belly' doesn't.
badan11	K9	body_parts	دندان	tooth	tooth			
badan12	K10	body_parts	دهان	mouth	mouth			
badan13		body_parts	زانو	knee	knee			
badan14	K12	body_parts	زبان	tongue	tongue			
badan15		body_parts	سر (کله)	head	head			
badan16	T19	body_parts	شانه	shoulder			shoulder	
badan17		body_parts	شکم			belly	belly button	
badan18		body_parts	شصت			thumb	finger	The Persian spelling is wrong. It should be شست
badan19	K14	body_parts	صورت	face	face			
badan20		body_parts	گردن	neck	neck			
badan21		body_parts	وش			ear?		Typo. Maybe 'گوش' was meant (ear)
badan22		body_parts	لب ها	lips	lips			
badan23		body_parts	لپ	cheek	cheek			
badan24	K18	body_parts	مو	hair	hair			
badan25		body_parts	مچ	wrist			arm	
badan26		body_parts	مشت	fist			hand	
badan27		body_parts	مژه	eyelashes			eye	
badan28	K20	body_parts	ناف			belly button	belly button	
afrad1		people	ادم	human			man/woman	
afrad2		people	اسم خود کودک	baby's name	child's own name			
afrad3		people	اقا	sir	sir			
afrad4		people	الله (خدا)	allah (god)			man/woman?	
afrad5	E4	people	بابا*	daddy	daddy			
afrad6		people	بابا بزرگ*	grandpa	grandpa			
afrad7		people	بچه (نی نی)	baby	baby			
afrad8	E7	people	پسر	boy	boy			
afrad9		people	پستچی	postman			mailman	
afrad10		people	پلیس	cop	policeman			
afrad11	E9	people	خاله	aunt	aunt			
afrad12		people	خانم	lady	lady			
afrad13		people	خواهر ( ابجی) *	sister	sister			The correct spelling of the word in parentheses is آبجی 
afrad14		people	داداش*	brother	brother			
afrad15		people	دای ی	uncle	uncle			The correct spelling is دایی
afrad16	E13	people	دختر	girl	girl			
afrad17		people	دک ت ر	doctor	doctor			The correct spelling is دکتر
afrad18		people	دوست	friend	friend			
afrad19		people	راننده	driver			driver	
afrad20		people	زن	female			woman	
afrad21	E16	people	عمو	uncle	uncle			
afrad22	E15	people	عمه	aunt	aunt			
afrad23	E17	people	مامان*	mommy	mommy			
afrad24		people	مامان بزرگ*	grandma	grandma			
afrad25		people	مرد	man	man			
afrad26		people	معلم	teacher	teacher			
afrad27		people	مهندس	engineer			engineer	
v.kh1		furniture_rooms	اشپزخانه	kitchen	kitchen			
v.kh2		furniture_rooms	ایفون			door intercom	telephone	The correct spelling is آیفون
v.kh3		furniture_rooms	اتاق	room	room			
v.kh4		furniture_rooms	اتو	iron			iron	
v.kh5		furniture_rooms	اجاق (گاز)			stove	stove	
v.kh6		furniture_rooms	ایوان	porch	porch			
v.kh7		furniture_rooms	بخاری	heater			radiator	
v.kh8		furniture_rooms	پارکینگ	parking			parking spot	
v.kh9		furniture_rooms	پذیرایی	catering		living room	living room	
v.kh10		furniture_rooms	پله	step			stairs	
v.kh11	H8	furniture_rooms	پنجره	window	window			
v.kh12		furniture_rooms	تخت			bed	bed	
v.kh13	H10	furniture_rooms	تلویزیون	television	tv		TV	
v.kh14	H11	furniture_rooms	حمام	bathroom	bathroom			
v.kh15	H12	furniture_rooms	در	door	door			
v.kh16	H14	furniture_rooms	دستشویی	toilet			potty	
v.kh17		furniture_rooms	دوش	shower	shower			
v.kh18	H13	furniture_rooms	دیوار	wall	wall			
v.kh19		furniture_rooms	رختخواب	bed	bed			The Persian is more than bedding and includes mattress as well.
v.kh20		furniture_rooms	زیرزمین			basement	basement	The lemma is my proposal.
v.kh21		furniture_rooms	سماور			samovar	teapot	
v.kh22	H16	furniture_rooms	صندلی	chair	chair			
v.kh23		furniture_rooms	ضبط	record		record player, voice recorder		
v.kh24		furniture_rooms	فریزر	freezer			refrigerator	
v.kh25		furniture_rooms	ظرفشویی	dishwasher			dishwasher	The lemma is my proposal.
v.kh26		furniture_rooms	قالی ( فرش)	carpet	carpet			
v.kh27		furniture_rooms	کامپیوتر	computer	computer			
v.kh28		furniture_rooms	کشو	drawing		drawer	dresser	
v.kh29	H20	furniture_rooms	کمد	closet	closet			
v.kh30		furniture_rooms	ماشین لباسشویی	washing machine	washing machine			
v.kh31		furniture_rooms	مبل	sofa	couch			
v.kh32		furniture_rooms	میز	table	table			
v.kh33		furniture_rooms	یخچال	refrigerator	refrigerator			
shayha1		household	اشغال	rubbish	trash			The correct spelling is آشغال
sh2		household	اینه	mirror	mirror			The correct spelling is آینه
sh3		household	استکان	glass	glass			
sh4		household	بالش (پشتی)	pillow (back)	pillow	pillow (cushion)	pillow	
sh5		household	برس	brush	brush (object)			
sh6		household	بشقاب	plate	plate			
sh7		household	پارچ	pitcher			pitcher	
sh8		household	پارچه	cloth	cloth			
sh9		household	پتو			blanket	blanket	
sh10		household	پرده	curtain	curtain			
sh11		household	پول	money	money			
sh12		household	پیچ	screw			screw	
sh13		household	پیچ گوشتی	screw driver			screwdriver	
sh14		household	تلفن	phone	telephone			
sh15		household	جارو	broom	broom			
sh16		household	جارو برقی	vacuum cleaner			vacuum	
sh17		household	چاقو	knife	knife			
sh18		household	چتر	umbrella	umbrella			
sh19		household	چکش	hammer	hammer			
sh20	T12	household	چنگال			fork	fork	
sh21		household	چوب	wood		wood / stick	wood	
sh22	T13	household	حوله	towel	towel			
sh23		household	خمیر دندان	toothpaste			toothpaste	
sh24		household	دارو	medicine	medicine			
sh25		household	دستمال	napkin			tissue	
sh26		household	دوربین	camera	camera			
sh27		household	دیس			platter	plate	
sh28		household	رادیو	radio	radio			
sh29	T15	household	ساعت	watch		watch/clock	watch (object)	
sh30	T16	household	سطل			bucket	bucket	
sh31		household	سوزن	needle			needle	
sh32		household	سی دی	disk		CD	CD	
sh33	T18	household	سینی			tray	tray	
sh34	T20	household	شامپو	shampoo			shampoo	
sh35	T19	household	شانه			comb	comb (object)	
sh36		household	شمع	candle	candle			
sh37		household	شیشه (شیر)	bottle (of milk)	bottle			
sh38	T22	household	صابون	soap	soap			
sh39		household	ظرف	container	box	box / plate		
sh40		household	عکس	picture	picture			
sh41		household	عینک	glasses	glasses			
sh42		household	قاشق	spoon	spoon			
sh43		household	قوری			teapot	teapot	
sh44		household	قیچی	scissors	scissors			
sh45		household	کاسه	bowl	bowl			
sh46		household	کاغذ	paper	paper			
sh47		household	کبریت	matches			matches	
sh48		household	کتری			kettle	kettle	
sh49		household	کلید	key	keys			
sh50		household	کنترل			remote control	remote control	
sh51		household	کیف	bag	bag			
sh52		household	لامپ	lamp	lamp			
sh53		household	لیف			washcloth		
sh54		household	لیوان	glass	glass			
sh55		household	مسواک	toothbrush	toothbrush			
sh56		household	نخ	thread			thread	
sh57		household	نمکدان	salt shaker			salt	
xarejemanzel1		outside	اتش	fire	fire			
x2		outside	ادم برفی	snowman	snowman			The correct spelling is آدم برفی
x3		outside	اسمان	sky	sky			
x4		outside	ابر	cloud	cloud			
x5		outside	باد	wind	wind			
x6	M6	outside	باران	rain	rain			
x7		outside	بام (پشت بام)	roof	roof			
x8	M8	outside	برف	snow	snow			
x9		outside	برگ	leaves	leaf			
x10		outside	بیل	bill		shovel, spade	shovel, spade	
x11		outside	پرچم	flag				
x12		outside	پیاده رو	sidewalk				
x13		outside	حوض (استخر)	pool	pool	also: pond	water (not beverage)	
x14		outside	خاک	soil	soil			
x15	M15	outside	خورشید	sun	sun			
x16		outside	خیابان	street	street			
x17	M16	outside	درخت	tree	tree			
x18		outside	دود	smoke				
x19		outside	زمین	earth	earth			
x20		outside	ساقه	stem			stem	
x21		outside	ستاره	star	star			
x22		outside	سرسره	slide			slide (object)	
x23		outside	سنگ	rock	rock (object)			
x24		outside	شلنگ			hose		
x25		outside	علف (سبزه)	grass	grass			
x26		outside	گل	flower	flower			
x27		outside	گِل	flower	flower	mud	soil	
x28	M25	outside	ماه	month		moon	moon	
x29		outside	هوا	air			air	
harfetarif.meqdar1	C1	quantifiers	بیشتر	more	more			
harfetarif2	C2	quantifiers	خیلی	very		also: many, much	many	
harfetarif3		quantifiers	دیگه	other	other			
harfetarif4	W24	quantifiers	زیاد	much	much			
harfetarif5		quantifiers	یه کم( یه ذره)	a little	little (amount)			
harfetarif6		quantifiers	مثلِ ( شکلِ)			like	like (preposition)	preposition
harfetarif7		quantifiers	هر	any	any			
harfetarif8		quantifiers	همه- همش	all	all			
harfetarif9		quantifiers	هیچی	nothing	nothing			
harfetarif10		quantifiers	هیچ کدوم	none	none			
harfetarif11		quantifiers	یک	one			one	
zaman1		time_words	الان	now	now			
z2	R1	time_words	امروز	today	today			
z3		time_words	بعد	next			next	
z4		time_words	دیروز	yesterday	yesterday			
z5	R5	time_words	روز	day	day			
z6		time_words	زود	soon			soon	
z7	R6	time_words	شب	night	night			
z8	R7	time_words	صبح	morning	morning			
z9		time_words	ظهر	noon			noon	
z10		time_words	عصر	evening	evening			
z11	R8	time_words	فردا	tomorrow	tomorrow			
z12		time_words	قبل	before	before			
zamir1		pronouns	ان (اون)			that	that	The correct spelling of the first word is آن
zamir2		pronouns	انها			they	3PL	The correct spelling is آنها
zamir3		pronouns	او (اون)	he (she)		he/she	3SG	
zamir4	X2	pronouns	این	this	this			
zamir5	X4	pronouns	اینها	these	these			
zamir6	X6	pronouns	تو	you	you		2SG	
zamir7		pronouns	خودت	yourself			2SG.REFL	
zamir8		pronouns	خودتان (خودتون)	yourself			2SG.REFL	Plural, but can be used for singular polite context too.
zamir9		pronouns	خودش	himself			3SG.REFL	
zamir10		pronouns	خودشان	themselves			3PL.REFL	
zamir11		pronouns	خودم	by my own		myself	1SG.REFL	
zamir12		pronouns	خودمان (خودمون)	ourselves			1PL.REFL	
zamir13	X7	pronouns	شما	you	you		2PL	
zamir14	X9	pronouns	ما	we	we		1PL	
zamir15	X8	pronouns	من	I	I		1SG	
zamir16		pronouns	همان(همون)	same	same			
tosifi1		descriptive_words	ابی	blue	blue			The correct spelling is آبی
t2		descriptive_words	اخر			end		The correct spelling is آخر. Also, the word is a noun.
t3		descriptive_words	اهسته (یواش)	slow	slow			The correct spelling is آهسته
t4		descriptive_words	اذیت			bug/annoy	annoying	meaning: annoy
t5		descriptive_words	اول	first	first			
t6	W1	descriptive_words	باز	open			open (description)	
t7		descriptive_words	بامزه	funny	funny			
t8	W2	descriptive_words	بد	bad	bad			
t9		descriptive_words	بد مزه	bad taste		bad-tasting	yucky	The lemma is my proposal.
t10	W4	descriptive_words	بزرگ	big	big			
t11	W5	descriptive_words	بسته	closed			closed (description)	
t12		descriptive_words	بلند (صدا)	loud (sound)	loud			
t13		descriptive_words	بهتر	better			good	
t14		descriptive_words	بیدار	awake	awake			
t15		descriptive_words	پاره			ripped	ripped	used mostly for paper items
t16		descriptive_words	پر	full	full			
t17		descriptive_words	پیر	old	old			
t18	W7	descriptive_words	تاریک	dark	dark			
t19		descriptive_words	تازه	new	new	new/fresh		
t20		descriptive_words	ترش	sour	sour			
t21		descriptive_words	تلخ	bitter	bitter			
t22		descriptive_words	تمیز	clean	clean (description)			
t23	W12	descriptive_words	چاق	fat	fat			
t24	W13	descriptive_words	خالی			empty	empty	
t25	W16	descriptive_words	خسته	tired	tired			
t26	W17	descriptive_words	خشک	dry	dry (description)			
t27		descriptive_words	خواب	asleep			asleep	
t28		descriptive_words	خوابیده	asleep			asleep	
t29	W20	descriptive_words	خوشحال	happy	happy			
t30		descriptive_words	خوشگل	beautiful	beautiful			
t31	W19	descriptive_words	خوشمزه	delicious	tasty			
t32		descriptive_words	خیس	wet	wet (description)			
t33	W22	descriptive_words	داغ			hot	hot	
t34		descriptive_words	دراز (بلند)	long	long	long/tall	tall	The lemma is my proposal.
t35	W23	descriptive_words	روشن	bright		(not dark)	bright	The lemma is my proposal.
t36		descriptive_words	زرد			yellow	yellow	
t37		descriptive_words	سبز	green	green			
t38		descriptive_words	سبک			light (not heavy)	light (description)	The lemma is my proposal.
t39	W26	descriptive_words	سرد	cold	cold			
t40		descriptive_words	سریع (تند)	fast	fast			
t41		descriptive_words	سفت	stiff		also: hard (not soft)	hard	
t42		descriptive_words	سفید	white	white			
t43		descriptive_words	سنگین	heavy	heavy			
t44		descriptive_words	سیاه	black	black			
t45		descriptive_words	شکسته	broken	broken			
t46		descriptive_words	شور			salty	salty	
t47		descriptive_words	شیرین	sweet	sweet			
t48	W28	descriptive_words	شیطان			naughty (child)	naughty	
t49		descriptive_words	قرمز	red	red			
t50		descriptive_words	قهوه ای	brown	brown			
t51	W29	descriptive_words	کثیف	dirty	dirty			
t52	W30	descriptive_words	کوچک	little	little (description)			
t53		descriptive_words	کهنه			old	old	used for objects
t54	W32	descriptive_words	گرسنه	hungry	hungry			
t55		descriptive_words	گرم	hot	hot			
t56	W33	descriptive_words	لاغر	thin	thin			
t57	W34	descriptive_words	مریض			sick	sick	
t58	W36	descriptive_words	ناراحت	upset				
t59		descriptive_words	نارنجی	orange	orange (description)			
t60		descriptive_words	ناز			cute, beautiful	cute	Many meanings. In child language: eg a child or parents can use it to describe a fluffy nice animal
t61		descriptive_words	نازک			thin	thin	
t62		descriptive_words	نرم	soft	soft			
t63		descriptive_words	نو (جدید، تازه)	new	new			
horufeezafe1		locations	از	from			of	
h.e2		locations	اطراف	around			around	
h.e3		locations	انجا	there	there			The correct spelling is آنجا
h.e4		locations	اینجا	here	here			
h.e5		locations	اونطرف	on the other side				
h.e6		locations	این طرف(این ور)	this side				
h.e7		locations	بالا(بالا ِی)	top	top			
h.e8		locations	برای	to	to	also: for	also: for	
h.e9		locations	به	to	to			
h.e10		locations	بیرون	outside	outside			
h.e11		locations	پایین	down	down			
h.e12		locations	پشت	back	back			
h.e13		locations	جلو (جلوی)	front	front			
h.e14		locations	داخل (توی/ در)	inside	inside			
h.e15	Z7	locations	دور	far	far			
h.e16		locations	دورتر	further			far	
h.e17	Z8	locations	روی			on	on	
h.e18	Z9	locations	زیر	under	under			
h.e19		locations	عقب	back	back	back/behind	behind	
h.e20	Z11	locations	کنار	next to the		next to/beside	beside	The lemma is my proposal.
h.e21		locations	نزدیک	close	close		close (description)	The lemma is my proposal.
rabt1		connecting_words	اگر	if	if			
r2		connecting_words	اما (ولی)	but			but	The lemma is my proposal.
r3		connecting_words	بعد	next		next/after	then	
r4		connecting_words	پس	so			so	
r5		connecting_words	چون (چون که/ زیرا/ برای اینکه)	because	because			
r6		connecting_words	و	and	and			
porsehi1	Y1	question_words	چرا	why	why			
porsehi2		question_words	چطور	how	how			
porsehi3		question_words	چیه	what	what			
porsehi4		question_words	کجا	where	where (question)			
porsehi5		question_words	کدام	which	which (question)			
porsehi6		question_words	کو			where (is it)	where (question)	
porsehi7	Y4	question_words	کِی	who	who	when	when (question)	
porsehi8		question_words	کی			who	who	
vb1		action_words	امد	come	come		come.past.3SG	The correct spelling is آمد
vb2		action_words	افتاد	fall	fall		fall.past.3SG	
